No.;Name of the station;Line 1;Line 2;Line 3;Line 4;Line 5
1;Бульвар Рокоссовского;1;14;;;
2;Черкизовская-Локомотив;1;14;;;
3;Преображенская площадь;1;;;;
4;Сокольники-Митьково;1;11;D3;;
5;Красносельская;1;;;;
6;Комсомольская-Площадь трёх вокзалов;1;5;D2;D4;
7;Красные Ворота;1;;;;
8;Чистые пруды-Тургеневская-Сретенский бульвар;1;6;10;;
9;Лубянка-Кузнецкий Мост;1;7;;;
10;Охотный Ряд-Театральная-Площадь Революции;1;2;3;;
11;Библиотека имени Ленина-Арбатская-Александровский сад-Боровицкая;1;3;4;9;
12;Кропоткинская;1;;;;
13;Парк культуры;1;5;;;
14;Фрунзенская;1;;;;
15;Спортивная-Лужники;1;14;;;
16;Воробьёвы горы;1;;;;
17;Университет;1;;;;
18;Проспект Вернадского;1;11;;;
19;Юго-Западная;1;;;;
20;Тропарёво;1;;;;
21;Румянцево;1;;;;
22;Саларьево;1;;;;
23;Филатов Луг;1;;;;
24;Прокшино;1;;;;
25;Ольховая;1;;;;
26;Новомосковская;1;16;;;
27;Потапово;1;;;;
28;Ховрино;2;D3;;;
29;Беломорская;2;;;;
30;Речной вокзал;2;;;;
31;Водный стадион;2;;;;
32;Войковская-Балтийская;2;14;D2;;
33;Сокол;2;;;;
34;Аэропорт;2;;;;
35;Динамо-Петровский парк;2;11;;;
36;Белорусская;2;5;D1;D4;
37;Маяковская;2;;;;
38;Тверская-Пушкинская-Чеховская;2;7;9;;
39;Новокузнецкая-Третьяковская;2;6;8;;
40;Павелецкая;2;5;;;
41;Автозаводская;2;14;;;
42;Технопарк;2;;;;
43;Коломенская;2;;;;
44;Каширская;2;11;;;
45;Кантемировская;2;;;;
46;Царицыно;2;D2;;;
47;Орехово;2;;;;
48;Домодедовская;2;;;;
49;Красногвардейская-Зябликово;2;10;;;
50;Алма-Атинская;2;;;;
51;Пятницкое шоссе;3;;;;
52;Митино;3;;;;
53;Волоколамская;3;D2;;;
54;Мякинино;3;;;;
55;Строгино;3;;;;
56;Крылатское;3;;;;
57;Молодёжная;3;;;;
58;Кунцевская;3;4;11;D1;
59;Славянский бульвар;3;D1;;;
60;Парк Победы-Поклонная;3;8A;D4;;
61;Киевская;3;4;5;;
62;Смоленская-3;3;;;;
63;Курская-Чкаловская;3;5;10;D2;D4
